Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
ENSG00000261509	ENSG00000261509.7	24150	TP53TG3B	TP53TG3B	Q9ULZ0
ENSG00000205456	ENSG00000205456.12	102723713	TP53TG3D	TP53TG3D	Q9ULZ0
ENSG00000205456	ENSG00000205456.12	102723655	TP53TG3D	TP53TG3D	Q9ULZ0
ENSG00000205456	ENSG00000205456.12	729355	TP53TG3D	TP53TG3D	Q9ULZ0
ENSG00000205456	ENSG00000205456.12	729264	TP53TG3D	TP53TG3D	Q9ULZ0
ENSG00000205456	ENSG00000205456.12	24150	TP53TG3D	TP53TG3D	Q9ULZ0
ENSG00000197136	ENSG00000197136.5	399909	PCNX3	PCNX3	Q9H6A9
ENSG00000275034	ENSG00000275034.3	102724101	TP53TG3E	TP53TG3E	Q9ULZ0
ENSG00000243716	ENSG00000243716.12	100132247	NPIPB5	NPIPB5	A8MRT5
ENSG00000155754	ENSG00000155754.15	151254	C2CD6	C2CD6	Q53TS8
ENSG00000114654	ENSG00000114654.8	79825	EFCC1	EFCC1	Q9HA90
ENSG00000213445	ENSG00000213445.10	6494	SIPA1	SIPA1	Q96FS4
ENSG00000066279	ENSG00000066279.19	259266	ASPM	ASPM	Q8IZT6
ENSG00000172995	ENSG00000172995.17	10777	ARPP21	ARPP21	Q9UBL0
ENSG00000010810	ENSG00000010810.18	2534	FYN	FYN	P06241
ENSG00000008838	ENSG00000008838.21	9862	MED24	MED24	O75448
ENSG00000106078	ENSG00000106078.19	23242	COBL	COBL	O75128
ENSG00000214967	ENSG00000214967.6	101059938	NPIPA7	NPIPA7	E9PJI5
ENSG00000151006	ENSG00000151006.8	339105	PRSS53	PRSS53	Q2L4Q9
ENSG00000082126	ENSG00000082126.18	58538	MPP4	MPP4	Q96JB8
ENSG00000214787	ENSG00000214787.11	643680	MS4A4E	MS4A4E	Q96PG1
ENSG00000205022	ENSG00000205022.9	390748	PABPN1L	PABPN1L	A6NDY0
ENSG00000123374	ENSG00000123374.11	1017	CDK2	CDK2	P24941
ENSG00000168056	ENSG00000168056.18	4054	LTBP3	LTBP3	Q9NS15
ENSG00000183632	ENSG00000183632.15	102723713	TP53TG3	TP53TG3	Q9ULZ0
