feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
ECD,DDX10,156.80076,92.09068,0,0
TEX10,IGF1R,125.75266,92.07866,0,0
ZNF131,SEC24C,160.31398,92.07225,0,0
UBE2A,AKAP1,200.18363,92.06413,0,0
VPS26A,GTPBP8,187.14252,92.05758,0,0
P4HA2,ANXA7,174.02177,92.00636,0,0
ERLIN1,VPS26A,172.62615,92.00091,0,0
MBTPS1,MLLT11,145.59115,91.97258,0,0
G3BP1,CASK,156.10891,91.96496,0,0
MRPL19,TRIM13,148.11772,91.91367,0,0
SMC1A,CTCF,144.98009,91.86683,1,1
COG4,TLE3,149.96619,91.81364,0,0
CTCF,MRPL19,147.98606,91.78201,0,0
AARS,TSN,151.48525,91.75565,0,0
PSMD10,TXNDC9,145.33837,91.75036,0,0
DHX29,FBXO21,160.73558,91.69782,0,0
AKAP1,UTP14A,192.3316,91.59281,0,0
MSH6,UBQLN2,197.127,91.48468,0,0
SMC1A,TLE3,144.56241,91.44915,0,0
TEX10,PHF2,136.23991,91.43941,0,0
USP14,NOLC1,169.21394,91.41565,1,0
RNF167,GRHPR,186.57428,91.3839,0,0
TM9SF3,ALMS1,166.11849,91.37927,0,0
DNMT1,UBQLN2,202.22445,91.36887,1,0
KIAA0100,ERCC5,148.79606,91.33111,0,0
VPS26A,SLC36A1,171.87709,91.25185,0,0
ECD,BECN1,166.14474,91.18183,0,0
SGCB,UBQLN2,196.76533,91.12301,0,0
TGDS,TRIM13,143.80656,91.0656,0,0
HMGCR,TOPBP1,153.46469,91.02058,0,0
G3BP1,SEC24C,159.23869,90.99696,1,1
MYC,NFIL3,211.91973,90.91095,1,0
ZMIZ1,ALMS1,200.38173,90.89518,0,0
UBE4A,SEC24C,159.12778,90.88605,1,0
G3BP1,TRIM13,155.00293,90.85898,0,0
KIAA1033,TNFRSF21,172.58371,90.82474,0,0
MBTPS1,SEC24C,159.05979,90.81806,1,0
KDM5A,TNFRSF21,172.55319,90.79422,0,0
ERLIN1,SEC24C,158.96394,90.72221,0,0
