feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
MTHFD2,PJA1,338.99868,184.59082,0,0
ATG3,MLLT11,333.41043,184.5677,0,0
CDK2,MBTPS1,344.60489,184.34949,0,0
CDC45,TTF1,295.79451,184.32641,0,0
CD44,USP1,310.77149,184.30718,0,0
DNTTIP2,KIF14,305.08081,184.22887,1,1
GOLT1B,FAM3C,299.36757,184.20389,0,0
GNAS,CLSTN1,347.04858,184.19426,0,0
ADAM10,MLLT11,354.26005,184.15305,0,0
EBNA1BP2,CCNA2,244.41204,184.06296,1,0
LAP3,CCNA2,244.40787,184.05879,0,0
GNAS,PJA1,330.10642,184.03393,0,0
CIRBP,CLASRP,360.10905,184.01552,1,0
MBOAT7,RBM15B,344.98967,183.98575,0,0
RRP12,TM9SF3,311.95107,183.93863,0,0
SMC4,CCNA2,244.22979,183.88071,1,0
RRP12,ERLIN1,311.86183,183.84939,0,0
ATP11B,TIMELESS,329.17422,183.81175,0,0
CREB1,ATF5,384.31415,183.72517,1,0
RRP12,ATP11B,329.04218,183.67971,0,0
NOLC1,RNPS1,248.27888,183.66082,1,0
CENPE,SFMBT1,296.31524,183.65556,0,0
GNAS,PPP3CA,312.9228,183.60713,0,0
RAI14,TBC1D31,266.31705,183.54729,0,0
BID,SCCPDH,299.71698,183.45532,0,0
FAM3C,MLLT11,305.81306,183.33123,0,0
CD44,KDM5A,313.20622,183.23062,0,0
DNAJB6,CDK2,279.04918,183.19088,0,0
AKR7A2,ATF5,383.76752,183.17854,0,0
PSMD5,MLLT11,319.00485,183.12014,0,0
RAP1A,CEP55,334.4919,183.11741,0,0
GNAS,PANK2,309.48694,183.08811,0,0
BACE2,ACBD3,273.8542,183.07991,0,0
PSMD5,BUB1B,318.82372,182.93901,0,0
YBX3,TBC1D9B,312.8789,182.78573,0,0
CNPY3,PNP,291.29157,182.7752,0,0
TP53BP1,TXLNA,256.9351,182.73012,0,0
CCNA2,SUPV3L1,243.05978,182.7107,0,0
TPD52L2,ADO,274.10614,182.69357,0,0
PPP3CA,MLLT11,312.00856,182.69289,0,0
MCOLN1,CD14,287.16813,182.6696,1,0
TPD52L2,ACBD3,273.25112,182.47683,0,0
NCAPD2,TTF1,293.86276,182.39466,0,0
IL4R,SH3BP5,403.62631,182.37242,0,0
CCNA2,TMED10,325.55967,182.34726,0,0
RAD51C,SLC2A6,340.79774,182.28997,0,0
PRCP,ATF5,387.17313,182.1745,0,0
ATP11B,DLGAP5,327.5281,182.16563,0,0
TRIB3,ATP1B1,389.09251,182.11614,0,0
CCNA2,GFPT1,242.49744,182.04959,0,0
PSMD5,CCNF,353.45972,182.04511,0,0
RRP12,NUP88,310.03246,182.02002,1,0
TP53BP1,KIF14,302.80472,181.95278,0,0
USP1,CDK1,308.34561,181.8813,1,0
ATP2C1,TPD52L2,317.47081,181.71413,0,0
SFMBT1,ENTPD6,294.3729,181.71322,0,0
RAD23B,PMAIP1,331.79964,181.70558,0,0
ZDHHC6,SEC61A2,384.54712,181.65547,0,0
BID,RPF1,305.18701,181.53309,0,0
HACD3,MLLT11,303.95593,181.4741,0,0
MAD2L1BP,MBOAT7,322.09302,181.45583,0,0
TOP2A,USP1,307.88884,181.42453,1,0
C2CD5,CPSF4,291.91539,181.4094,0,0
TP53BP1,CCNA2,255.60055,181.39557,1,0
RPF1,DLGAP5,305.0061,181.35218,0,0
YKT6,TES,271.92702,181.19865,0,0
PANK2,IER3,276.05388,181.12308,0,0
TESK1,PSIP1,270.16109,181.10299,0,0
BIRC5,DDX42,354.6625,181.09335,0,0
NUP85,PSIP1,271.11379,181.0318,0,0
RPF1,MLLT11,304.68116,181.02724,0,0
TXLNA,GFPT1,241.4638,181.01595,0,0
APPBP2,MTHFD2,343.91897,181.01031,0,0
H2AFV,CCNF,352.35545,180.94084,1,1
PRPF4,CCNF,352.304,180.88939,1,1
DNTTIP2,DLGAP5,282.21308,180.80964,0,0
YKT6,GFPT1,271.53436,180.80599,0,0
TPD52L2,LSM6,271.58083,180.79128,0,0
CCNA2,PSIP1,269.79862,180.74052,1,0
KIAA1033,CCNA2,271.496,180.67429,0,0
KIF2C,UBE3B,332.44952,180.66728,0,0
CD44,RAI14,270.72578,180.63472,0,0
CDC45,USP1,307.04815,180.58384,1,0
SCCPDH,MPZL1,283.2435,180.57774,0,0
HACD3,DSE,269.04899,180.53508,0,0
COPS7A,SCCPDH,283.14413,180.47837,0,0
KIF14,TTF1,301.30801,180.45607,0,0
CDC45,ARFIP2,279.56592,180.45414,0,0
TPD52L2,FAM20B,305.61455,180.38349,0,0
CASC3,NUP85,279.83817,180.36769,1,0
TSTA3,AKT1,342.27344,180.27975,0,0
FEZ2,MLLT11,308.66653,180.26512,0,0
ENOPH1,ENTPD6,282.82639,180.15354,0,0
MTHFD2,RPA3,334.5342,180.12634,0,0
MBOAT7,COPB2,320.72782,180.09063,0,0
YBX3,MAP3K4,308.35113,180.08092,0,0
BLMH,NUP62,302.94489,180.01763,0,0
PHF2,POLG2,276.63041,180.00481,0,0
